Date,Gemini_Ratio,Claude_Ratio
2025-06-26,6.73021,1.38149
2025-06-27,6.32318,1.29808
2025-06-28,3.86376,0.73706
2025-06-29,4.13605,0.84012
2025-06-30,6.77873,1.4276
2025-07-01,6.727,1.33898
2025-07-02,6.95678,1.42359
2025-07-03,6.66885,1.40996
2025-07-04,6.332,1.24434
2025-07-05,3.82166,1.05226
2025-07-06,4.17174,0.92433
2025-07-07,7.19779,1.53868
2025-07-08,7.61324,1.72556
2025-07-09,7.95731,1.75082
2025-07-10,8.30459,1.55232
2025-07-11,7.56031,1.44645
2025-07-12,4.41034,0.83049
2025-07-13,4.95131,1.02579
2025-07-14,8.33908,1.71433
2025-07-15,8.52916,1.64175
2025-07-16,9.92027,1.82902
2025-07-17,8.50229,1.59162
2025-07-18,7.61565,1.3454
2025-07-19,4.59962,0.78277
2025-07-20,4.72955,0.8321
2025-07-21,7.82939,1.46891
2025-07-22,8.45537,1.41156
2025-07-23,8.15742,1.29246
2025-07-24,7.99902,1.27081
2025-07-25,7.44401,1.22469
2025-07-26,4.77086,0.72984
2025-07-27,4.85587,0.74588
2025-07-28,7.63249,1.26359
2025-07-29,7.8731,1.3057
2025-07-30,7.75761,1.32535
2025-07-31,7.519,1.25477
2025-08-01,7.45284,1.15973
2025-08-02,5.15904,0.66969
2025-08-03,5.777,0.7928
2025-08-04,8.76896,1.29647
2025-08-05,9.26542,1.45928
2025-08-06,8.96626,1.59964
2025-08-07,10.54987,1.49497
2025-08-08,10.4837,1.60646
2025-08-09,6.33361,0.9528
2025-08-10,6.53291,0.98007
2025-08-11,10.76721,1.73157
2025-08-12,10.96131,1.74922
2025-08-13,10.87308,1.67623
2025-08-14,9.78473,1.48615
2025-08-15,6.20247,0.8317
2025-08-16,6.79718,0.82969
2025-08-17,7.35619,0.97366
2025-08-18,11.55561,1.68826
2025-08-19,12.35242,1.79694
2025-08-20,13.26192,1.87233
2025-08-21,12.65198,1.74962
2025-08-22,11.41405,1.56074
2025-08-23,7.02696,0.83049
2025-08-24,7.36942,0.9127
2025-08-25,12.09617,1.68947
2025-08-26,12.09818,1.62691
2025-08-27,12.70652,1.67302
2025-08-28,12.84326,1.54671
2025-08-29,11.86198,1.51382
2025-08-30,7.56913,0.81245
2025-08-31,8.14178,0.90468
2025-09-01,13.19696,1.71673
2025-09-02,14.03628,1.81258
2025-09-03,15.74219,2.05439
2025-09-04,15.83322,2.19755
2025-09-05,13.71787,1.61327
2025-09-06,9.58102,0.91471
2025-09-07,10.90276,1.04303
2025-09-08,16.95245,1.81258
2025-09-09,17.10123,1.79052
2025-09-10,16.60878,1.80977
2025-09-11,16.06701,1.76125
2025-09-12,14.64582,1.61608
2025-09-13,9.84448,0.89025
2025-09-14,10.51698,0.98368
2025-09-15,16.94122,1.77448
2025-09-16,19.65167,1.78531
2025-09-17,19.39944,1.76927
2025-09-18,18.45385,1.67744
2025-09-19,19.35292,1.51543
2025-09-20,12.90783,0.83731
2025-09-21,13.62965,0.9115
2025-09-22,20.32738,1.64736
2025-09-23,20.36508,1.67864
2025-09-24,20.96098,1.5852
2025-09-25,19.54581,1.58721
2025-09-26,17.02143,1.28885
2025-09-27,11.09444,0.78277
2025-09-28,13.04217,0.94679
2025-09-29,19.95885,1.59282
2025-09-30,19.95885,1.71834
2025-10-01,19.545,1.53548
2025-10-02,17.18424,1.35502
2025-10-03,11.65265,1.09196
2025-10-04,10.70185,0.69054
2025-10-05,10.77965,0.62397
2025-10-06,11.93296,0.6368
2025-10-07,10.68701,0.82207
2025-10-08,10.97414,0.76232
2025-10-09,12.978,0.92513
2025-10-10,16.57028,1.28645
2025-10-11,12.80677,0.9111
2025-10-12,14.7966,1.05466
2025-10-13,25.26226,1.73919
2025-10-14,24.4871,1.70551
2025-10-15,25.60512,1.80215
2025-10-16,26.3859,1.7837
2025-10-17,23.05628,1.55793
2025-10-18,15.19721,0.95721
2025-10-19,16.81771,1.04784
2025-10-20,25.45996,1.71393
2025-10-21,25.40422,1.75924
2025-10-22,24.94385,1.7821
2025-10-23,24.35557,1.80576
2025-10-24,22.4291,1.57919
2025-10-25,13.66855,1.18659
2025-10-26,15.73377,1.20143
2025-10-27,23.38832,1.91283
2025-10-28,23.54311,1.87874
2025-10-29,23.00936,1.8222
2025-10-30,22.26308,1.77889
2025-10-31,19.42029,1.95373
2025-11-01,11.96504,0.93676
2025-11-02,14.00299,1.08955
2025-11-03,22.10347,1.85629
2025-11-04,22.87422,1.99464
2025-11-05,22.93999,1.9389
2025-11-06,22.26789,2.10331
2025-11-07,19.97329,1.9024
2025-11-08,12.88697,1.05346
2025-11-09,14.61775,1.13005
2025-11-10,23.659,2.11534
2025-11-11,24.28298,2.36999
2025-11-12,23.05347,2.38242
2025-11-13,22.10026,2.16547
2025-11-14,20.97702,1.88636
2025-11-15,13.2948,1.02178
2025-11-16,15.05686,1.14649
2025-11-17,24.63788,2.08045
2025-11-18,31.39576,3.08981
2025-11-19,29.24473,2.23605
2025-11-20,28.24821,2.09048
2025-11-21,25.12511,1.72716
2025-11-22,16.33168,0.97606
2025-11-23,19.20254,1.12845
2025-11-24,34.46151,2.13259
2025-11-25,41.063,2.22402
2025-11-26,43.10897,2.14021
2025-11-27,39.81665,2.07203
2025-11-28,35.25392,1.75884
2025-11-29,23.09237,1.04784
2025-11-30,25.04932,1.18459
2025-12-01,41.38061,1.97619
2025-12-02,39.92894,2.05078
2025-12-03,39.5592,2.0584
2025-12-04,37.5822,1.83543
2025-12-05,34.38612,1.99744
2025-12-06,22.51892,0.97406
2025-12-07,25.2779,1.07993
2025-12-08,41.08506,1.8992
2025-12-09,43.66919,2.19875
2025-12-10,42.67468,2.06522
2025-12-11,42.2472,2.00506
2025-12-12,38.47005,1.76927
2025-12-13,24.91097,1.01697
2025-12-14,27.60298,1.13045
2025-12-15,45.13209,1.78972
2025-12-16,46.52722,1.83142
2025-12-17,45.28688,1.79453
2025-12-18,46.26174,1.80375
2025-12-19,41.85661,1.56595
2025-12-20,27.07484,0.84573
2025-12-21,28.90186,0.93195
2025-12-22,47.87222,1.54229
2025-12-23,50.10386,1.50099
2025-12-24,48.77891,1.25116
2025-12-25,31.51807,0.69615
2025-12-26,44.1075,1.14649
2025-12-27,30.64386,0.74628
2025-12-28,33.37236,0.8325
2025-12-29,53.68772,1.33136
2025-12-30,52.23324,1.30249
2025-12-31,49.83518,1.14208
2026-01-01,38.2932,0.88984
2026-01-02,52.15625,1.28966
2026-01-03,37.5012,0.82889
2026-01-04,39.21673,0.85456
2026-01-05,61.87201,1.584
2026-01-06,63.11315,1.59523
2026-01-07,64.23558,1.53026
2026-01-08,63.58915,1.51623
2026-01-09,61.56884,1.38069
2026-01-10,40.80836,0.80282
2026-01-11,43.08411,0.9131
2026-01-12,70.02702,1.63212
2026-01-13,73.00696,1.73959
2026-01-14,72.53937,1.75363
2026-01-15,73.72317,1.53788
2026-01-16,70.31255,1.5459
2026-01-17,45.24197,0.86217
2026-01-18,46.96272,0.92393
2026-01-19,77.8123,1.67623
2026-01-20,78.93073,1.69989
2026-01-21,78.49764,1.63814
2026-01-22,79.65617,1.73438
2026-01-23,74.77422,1.53147
2026-01-24,46.71369,0.93356
2026-01-25,48.71354,1.00895
2026-01-26,79.37265,1.65057
2026-01-27,79.88595,1.73719
2026-01-28,83.00583,2.06562
2026-01-29,85.01612,1.93609
2026-01-30,78.65684,1.80015
2026-01-31,51.60164,1.13045
2026-02-01,52.4935,1.21106
2026-02-02,84.09539,1.95253
2026-02-03,86.48343,2.15103
2026-02-04,85.15046,3.02203
2026-02-05,87.13026,4.88474
2026-02-06,80.93099,5.43052
2026-02-07,51.3057,4.26438
2026-02-08,53.40901,3.73544
2026-02-09,83.33827,6.68329
2026-02-10,89.25162,5.48586
2026-02-11,83.7433,5.04916
2026-02-12,82.5567,4.25315
2026-02-13,73.19102,3.68451
2026-02-14,45.83507,2.07765
2026-02-15,43.13263,1.99223
2026-02-16,42.49262,1.85428
2026-02-17,43.57455,1.79253
2026-02-18,51.70069,2.18351
2026-02-19,84.34482,3.8794
2026-02-20,82.98097,3.78556
2026-02-21,54.55752,2.1771
2026-02-22,56.59948,2.42092
2026-02-23,89.69073,4.2728
2026-02-24,92.39276,4.87432
2026-02-25,91.95365,4.71391
2026-02-26,90.22689,4.73597
2026-02-27,84.48557,4.52423
2026-02-28,56.5702,3.4447
2026-03-01,56.51647,3.87138
2026-03-02,67.71959,6.8838
2026-03-03,95.95457,10.76481
2026-03-04,98.68507,8.08684
2026-03-05,100,7.32892
2026-03-06,94.45598,5.9767
